catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
11,A,Azure Monitor,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
12,A,Azure Monitor Logs,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
13,B,Backtrace,Error monitoring,Exception/crash monitoring,Applications / mobile,Capture and triage errors/crashes,SDK / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
14,B,BCC,eBPF/runtime observability,eBPF visibility/security,Linux / Kubernetes,Low-overhead runtime/network visibility,Kernel / agent / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
15,B,Beats,Telemetry collection,Instrumentation/collector/agent,Multi-signal,"Generate, collect and route telemetry",Agent / SDK / collector,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://prometheus.io/blog/2026/09/21/otel-prometheus-interoperability-survey/
16,B,Better Stack Incident Management,Incident response,Alerting/on-call/incident platform,SRE,Route alerts and coordinate incidents,SaaS / server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
17,B,Better Stack Logs,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
18,B,Better Uptime / Better Stack Uptime,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
19,B,BigPanda,Incident response,Alerting/on-call/incident platform,SRE,Route alerts and coordinate incidents,SaaS / server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
20,B,Blackbox Exporter,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
21,B,Blameless,Incident response,Alerting/on-call/incident platform,SRE,Route alerts and coordinate incidents,SaaS / server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
22,B,BPFtrace,eBPF/runtime observability,eBPF visibility/security,Linux / Kubernetes,Low-overhead runtime/network visibility,Kernel / agent / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
23,B,Bugsink,Error monitoring,Exception/crash monitoring,Applications / mobile,Capture and triage errors/crashes,SDK / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
24,B,Bugsnag,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
25,C,cAdvisor,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
26,C,Checkly,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
27,C,Checkmk,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
28,C,Chronograf,Visualization,Observability visualization/dashboard,Multi-signal,Visualize telemetry and operational state,Web / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
29,C,Chronosphere,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
30,C,Chronosphere UI,Visualization,Observability visualization/dashboard,Multi-signal,Visualize telemetry and operational state,Web / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
31,C,Cilium Hubble,eBPF/runtime observability,eBPF visibility/security,Linux / Kubernetes,Low-overhead runtime/network visibility,Kernel / agent / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
32,C,Collectd,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
33,C,Coralogix,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
34,C,Cortex,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
35,C,Crashlytics,Error monitoring,Exception/crash monitoring,Applications / mobile,Capture and triage errors/crashes,SDK / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
36,C,Cronitor,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
37,D,Datadog,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
38,D,Datadog APM tracing,Tracing,Distributed tracing/APM,Distributed systems,Trace requests across services,Agent / collector / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
39,D,Datadog Continuous Profiler,Profiling,Continuous/application profiling,Applications / infrastructure,CPU/memory/profile observability,Agent / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
40,D,Datadog Dashboards,Visualization,Observability visualization/dashboard,Multi-signal,Visualize telemetry and operational state,Web / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
41,D,Datadog Logs,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
42,D,Datadog Synthetics,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
43,D,Dead Man's Snitch,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
44,D,DogStatsD,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
45,D,Dynatrace,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
46,D,Dynatrace Dashboards,Visualization,Observability visualization/dashboard,Multi-signal,Visualize telemetry and operational state,Web / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
47,D,Dynatrace Logs,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
48,D,Dynatrace Synthetic,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
49,D,Dynatrace tracing,Tracing,Distributed tracing/APM,Distributed systems,Trace requests across services,Agent / collector / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
50,E,Elastic Observability,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
51,E,Elastic Universal Profiling,Profiling,Continuous/application profiling,Applications / infrastructure,CPU/memory/profile observability,Agent / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
52,E,Elasticsearch,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
53,E,Errbit,Error monitoring,Exception/crash monitoring,Applications / mobile,Capture and triage errors/crashes,SDK / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
54,F,Falco,eBPF/runtime observability,eBPF visibility/security,Linux / Kubernetes,Low-overhead runtime/network visibility,Kernel / agent / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
55,F,Filebeat,Telemetry collection,Instrumentation/collector/agent,Multi-signal,"Generate, collect and route telemetry",Agent / SDK / collector,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://prometheus.io/blog/2026/09/21/otel-prometheus-interoperability-survey/
56,F,FireHydrant,Incident response,Alerting/on-call/incident platform,SRE,Route alerts and coordinate incidents,SaaS / server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
57,F,Fluent Bit,Telemetry collection,Instrumentation/collector/agent,Multi-signal,"Generate, collect and route telemetry",Agent / SDK / collector,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://prometheus.io/blog/2026/09/21/otel-prometheus-interoperability-survey/
58,F,Fluentd,Telemetry collection,Instrumentation/collector/agent,Multi-signal,"Generate, collect and route telemetry",Agent / SDK / collector,Current and historical notable tools,CNCF 2025 graduated-project production use,41.0,CNCF annual survey,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://prometheus.io/blog/2026/09/21/otel-prometheus-interoperability-survey/
59,F,Freshping,Synthetic/uptime,Uptime and synthetic monitoring,Web / APIs,External checks and synthetic tests,SaaS / probe,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
60,G,Ganglia,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
61,G,Glances,Metrics/monitoring,Metrics collection/storage/monitoring,Infrastructure / cloud native,"Measure health, performance and capacity",Agent / server / cluster,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
62,G,GlitchTip,Error monitoring,Exception/crash monitoring,Applications / mobile,Capture and triage errors/crashes,SDK / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
63,G,Google Cloud Logging,Logging,Log aggregation/search,Infrastructure / applications,"Collect, store and search logs",Agent / server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
64,G,Google Cloud Operations Suite,APM/observability platform,Commercial/full-stack observability,Applications / infrastructure,"APM, logs, metrics, traces and errors",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
65,G,Google Cloud Profiler,Profiling,Continuous/application profiling,Applications / infrastructure,CPU/memory/profile observability,Agent / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
