catalog_id,initial,language,github_rank_2026_q1,github_pushers_2026_q1_approx,stackoverflow_rank_2025,stackoverflow_used_pct_2025,tiobe_rank_2026_09,tiobe_rating_pct_2026_09,country_breakdown_status,gender_breakdown_status,catalog_source
51,B,B,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
52,B,Babbage,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
53,B,Ballerina,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
54,B,Bash,,,5,48.7,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
55,B,BASIC,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
56,B,Batch file,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
57,B,bc,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
58,B,BCPL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
59,B,BeanShell,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
60,B,BETA,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
61,B,BLISS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
62,B,Blockly,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
63,B,BlooP,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
64,B,Boo,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
65,B,Boomerang,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
66,B,Bosque,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
67,C,C,6,907600,11,22.0,2,10.28,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
68,C,C--,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
69,C,C++,5,944600,9,23.5,3,8.67,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
70,C,C*,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
71,C,C#,7,564600,8,27.8,5,4.22,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
72,C,C/AL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
73,C,Caché ObjectScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
74,C,C Shell,,,5,48.7,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
75,C,Calcpad,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
76,C,Caml,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
77,C,Carbon,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
78,C,Catrobat,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
79,C,Cayenne,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
80,C,Cecil,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
81,C,CESIL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
82,C,CEEMAC,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
83,C,Céu,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
84,C,Ceylon,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
85,C,CFEngine,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
86,C,Cg,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
87,C,Ch,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
88,C,Chapel,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
89,C,Charm,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
90,C,CHICKEN,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
91,C,CHILL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
92,C,CHIP-8,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
93,C,ChucK,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
94,C,Cilk,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
95,C,Claire,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
96,C,Clarion,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
97,C,Clean,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
98,C,Clipper,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
99,C,CLIPS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
100,C,CLIST,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
101,C,Clojure,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
102,C,CLU,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
103,C,CMS-2,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
104,C,COBOL,,,,,20,0.78,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
105,C,CobolScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
106,C,Cobra,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
107,C,CoffeeScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
108,C,ColdFusion,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
109,C,COMAL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
110,C,COMIT,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
111,C,Common Intermediate Language (CIL),,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
112,C,Common Lisp,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
113,C,COMPASS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
114,C,Component Pascal,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
115,C,COMTRAN,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
116,C,Concurrent Pascal,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
117,C,Constraint Handling Rules (CHR),,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
118,C,Control Language,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
119,C,Coq / Rocq,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
120,C,CORAL / Coral 66,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
121,C,CorVision,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
122,C,COWSEL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
123,C,CPL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
124,C,Cryptol,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
125,C,Crystal,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
126,C,Csound,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
127,C,Cuneiform,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
128,C,Curl,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
129,C,Curry,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
130,C,Cybil,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
131,C,Cyclone,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
132,C,Cypher Query Language,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
133,C,Cython,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
134,D,D,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
135,D,Dart,,,19,5.9,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
136,D,Darwin,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
137,D,DataFlex,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
138,D,Datalog,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
139,D,DATATRIEVE,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
140,D,dBase,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
141,D,dc,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
142,D,DCL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
143,D,Delphi,,,,,13,1.08,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
144,D,DIBOL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
145,D,DinkC,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
146,D,Dog,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
147,D,Draco,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
148,D,DRAKON,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
149,D,Dylan,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
