catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
11,A,Autotools,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
12,B,Bandersnatch,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
13,B,Bazel,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
14,B,Bazel JVM rules,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
15,B,Bazel monorepo,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
16,B,Beachball,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
17,B,Bear,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
18,B,Biicode,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
19,B,Bit,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
20,B,Boost.Build,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
21,B,Boot,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
22,B,Bower,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
23,B,Broccoli,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
24,B,Browserify,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
25,B,Brunch,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
26,B,BSD Make,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
27,B,Buck2,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
28,B,Buck2 Java rules,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
29,B,Buck2 monorepo,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
30,B,Buckaroo,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
31,B,Build,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
32,B,Bullseye,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
33,B,Bun Bundler,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
34,B,Bun Package Manager,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
35,B,Bundler,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
36,C,Cabal,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
37,C,Cake,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
38,C,Cargo,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
39,C,cargo-binstall,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
40,C,cargo-chef,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
41,C,cargo-edit,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
42,C,cargo-generate,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
43,C,cargo-make,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
44,C,cargo-nextest,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
45,C,cargo-release,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
46,C,Carthage,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
47,C,Cget,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
48,C,Changesets,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
49,C,Chocolatey,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
50,C,Chocolatey NuGet ecosystem,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
51,C,CMake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
52,C,CocoaPods,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
53,C,Composer,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
54,C,Conan,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
55,C,Conda,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
56,C,Conda Forge,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
57,C,Corepack,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
58,C,Coursier,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
59,C,CPM.cmake,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
60,C,Crates.io,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
61,C,cross,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
62,D,Deno bundle,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
63,D,Devpi,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
64,D,Distillery,Build & package management,BEAM package/build tooling,Elixir / Erlang,"Dependencies, compilation and releases",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
65,D,DNF,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
66,D,dotnet CLI,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
67,D,dpkg,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
68,E,EasyBuild,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
69,E,esbuild,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,State of JS 2025 build-tool usage,53.8,State of JS respondents who answered item,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
70,F,FAKE,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
71,F,Farm,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
72,F,Feri,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
73,F,Flatpak,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
74,F,Flit,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
75,F,fnm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
76,F,FuseBox,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
77,G,GitHub Packages npm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
78,G,GitLab Package Registry npm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
79,G,GN,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
80,G,GNU Make,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
81,G,go get,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
82,G,go install,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
83,G,Go Modules,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
84,G,Go workspaces,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
85,G,Goproxy.cn,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
86,G,goreleaser,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
87,G,Gradle,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
88,G,Gradle Wrapper,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
89,G,Grunt,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
90,G,Guix,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
