catalog_id,initial,name,category,layer,kind,primary_language,ecosystem,stackoverflow_rank_2025,stackoverflow_used_pct_2025,stateofjs_used_pct_2025,stateofjs_satisfaction_pct_2025,w3techs_all_websites_pct_2026_09_23,w3techs_js_library_market_share_pct_2026_09_23,country_breakdown_status,gender_breakdown_status,notes,catalog_source
42,A,AspNetStatic,.NET web,Server / full-stack / client,Framework / web platform,C# / F#,.NET,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
43,A,Assemble,Static site / documentation,Build-time / SSG,Static site generator / content framework,Multi-language,Static web,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
44,A,Astro,Meta / full-stack,Full-stack / SSR / SSG,Meta-framework / full-stack framework,JavaScript / TypeScript,JavaScript,21,4.5,,94,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://2025.stateofjs.com/en-US/libraries/meta-frameworks/
45,A,Athena Framework,Crystal web,Server / full-stack / SSG,Framework / web toolkit,Crystal,Crystal,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
46,A,Atreugo,Back-end / API,Server,Framework / router / toolkit,Go,Go,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/avelino/awesome-go
47,A,Aura,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,PHP,PHP,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/ziadoz/awesome-php
48,A,Aurelia,Front-end application,Client,Framework / UI library,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_JavaScript-based_web_frameworks
49,A,Axum,Rust web,Server / full-stack / client / SSG,Framework / web toolkit,Rust,Rust,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
50,B,Backbone.js,Front-end application,Client,Framework / UI library,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_JavaScript-based_web_frameworks
51,B,Banjo,Back-end / API,Server,Framework / router / toolkit,Go,Go,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/avelino/awesome-go
52,B,Batman.js,Front-end application,Client,Framework / UI library,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_JavaScript-based_web_frameworks
53,B,Beego,Back-end / API,Server,Framework / router / toolkit,Go,Go,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/avelino/awesome-go
54,B,Beer CSS,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
55,B,Bengal,Static site / documentation,Build-time / SSG,Static site generator / content framework,Multi-language,Static web,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
56,B,Biff,Clojure web,Server / full-stack / client,Framework / web toolkit,Clojure / ClojureScript,Clojure,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
57,B,BlackSheep,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
58,B,Blade,Back-end / full-stack,Server / full-stack,Framework / web platform,Java / Kotlin / Groovy,JVM,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/akullpp/awesome-java
59,B,Blazor,.NET web,Server / full-stack / client,Framework / web platform,C# / F#,.NET,18,7.0,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
60,B,Blazorise,.NET web,Server / full-stack / client,Framework / web platform,C# / F#,.NET,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
61,B,Blitz.js,Meta / full-stack,Full-stack / SSR / SSG,Meta-framework / full-stack framework,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://2025.stateofjs.com/en-US/libraries/meta-frameworks/
62,B,BlueBream,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
63,B,Blueprint,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
64,B,Blurry,Static site / documentation,Build-time / SSG,Static site generator / content framework,Multi-language,Static web,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
65,B,Bokeh Server,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
66,B,Bolero,.NET web,Server / full-stack / client,Framework / web platform,C# / F#,.NET,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
67,B,Bonito.jl,Julia web,Server / full-stack / SSG,Framework / web toolkit,Julia,Julia,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
68,B,Bonsai Web,OCaml web,Server / full-stack / client,Framework / web toolkit,OCaml,OCaml,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
69,B,Bootstrap,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
70,B,Bottle,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
71,B,Bridgetown,Static site / documentation,Build-time / SSG,Static site generator / content framework,Multi-language,Static web,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
72,B,Brochure,R web,Server / data app,Framework / web app toolkit,R,R,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
73,B,Brooklyn,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Ruby,Ruby,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/markets/awesome-ruby
74,B,Buffalo,Back-end / API,Server,Framework / router / toolkit,Go,Go,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/avelino/awesome-go
75,B,Bulma,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
76,B,Bun,Runtime / web platform,Server runtime,Runtime,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,Not a web framework; included because major surveys group it with web technologies.,https://survey.stackoverflow.co/2025/technology/
77,C,Cactus,Static site / documentation,Build-time / SSG,Static site generator / content framework,Multi-language,Static web,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
78,C,CakePHP,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,PHP,PHP,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/ziadoz/awesome-php
79,C,Camping,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Ruby,Ruby,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/markets/awesome-ruby
80,C,CanJS,Front-end application,Client,Framework / UI library,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_JavaScript-based_web_frameworks
81,C,Capri,Meta / full-stack,Full-stack / SSR / SSG,Meta-framework / full-stack framework,JavaScript / TypeScript,JavaScript,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://2025.stateofjs.com/en-US/libraries/meta-frameworks/
82,C,Carbon Design System,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
83,C,Carter,.NET web,Server / full-stack / client,Framework / web platform,C# / F#,.NET,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
84,C,Cask,Scala web,Server / client,Framework / HTTP toolkit,Scala,Scala/JVM,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/lauris/awesome-scala
85,C,Catalyst,Perl web,Server,Framework / web toolkit,Perl,Perl,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
86,C,Caveman2,Common Lisp web,Server,Framework / web toolkit,Common Lisp,Common Lisp,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
87,C,Chakra UI,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
88,C,CherryPy,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
89,C,Chi,Back-end / API,Server,Framework / router / toolkit,Go,Go,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/avelino/awesome-go
90,C,Chicago Boss,BEAM web,Server / full-stack,Framework / web toolkit,Elixir / Erlang,BEAM,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/h4cc/awesome-elixir
91,C,Chota,CSS / UI framework,Client UI / styling,CSS framework / component library,CSS / JavaScript / TypeScript,Web UI,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/troxler/awesome-css-frameworks
92,C,CivetWeb,C/C++ web,Server / full-stack,Framework / HTTP toolkit,C / C++,C/C++,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
93,C,Clack,Common Lisp web,Server,Framework / web toolkit,Common Lisp,Common Lisp,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
94,C,Coast,Clojure web,Server / full-stack / client,Framework / web toolkit,Clojure / ClojureScript,Clojure,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
95,C,CodeIgniter,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,PHP,PHP,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/ziadoz/awesome-php
96,C,ColdBox Platform,CFML web,Server,Framework,CFML,ColdFusion / CFML,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
97,C,Compojure,Clojure web,Server / full-stack / client,Framework / web toolkit,Clojure / ClojureScript,Clojure,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_server-side_web_frameworks
98,C,Conduit,Dart web,Client / server / full-stack,Framework / web toolkit,Dart,Dart,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/myles/awesome-static-generators
99,C,Connexion,Back-end / full-stack,Server / full-stack,Framework / web app toolkit,Python,Python,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/vinta/awesome-python
100,C,Cowboy,BEAM web,Server / full-stack,Framework / web toolkit,Elixir / Erlang,BEAM,,,,,,,Not populated: no comparable global framework-by-country table verified for the full catalogue,Not populated: no robust per-framework gender cross-tab verified for the full catalogue,,https://github.com/h4cc/awesome-elixir
