catalog_id,initial,name,primary_model,secondary_models,product_type,deployment,provider_or_project,stackoverflow_rank_2025,stackoverflow_used_pct_2025,dbengines_rank_2026_09,dbengines_score_2026_09,dbengines_top20_model,country_breakdown_status,gender_breakdown_status,notes,source_url
16,A,Aiven for PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
17,A,Akumuli,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
18,A,Algolia,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
19,A,AllegroGraph,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
20,A,AllegroGraph RDFStore,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
21,A,AlloyDB Omni,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
22,A,Altibase,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
23,A,Amazon Aurora,Relational / SQL,,Managed database service,Managed cloud,Amazon Web Services,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS managed relational database service.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
24,A,Amazon Aurora DSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
25,A,Amazon Aurora MySQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
26,A,Amazon Aurora PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
27,A,Amazon Aurora PostgreSQL pgvector,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
28,A,Amazon DocumentDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
29,A,Amazon DynamoDB,Key-value / document,,Database engine / DBMS,Managed cloud,Amazon Web Services,10,9.8,18,56.36,Key-value / document,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS managed NoSQL key-value/document database.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
30,A,Amazon ElastiCache,Cloud managed database,,Managed cloud database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
31,A,Amazon ElastiCache for Memcached,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
32,A,Amazon ElastiCache for Redis,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
33,A,Amazon ElastiCache for Valkey,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
34,A,Amazon Keyspaces,Wide-column / Cassandra-compatible,,Database engine / DBMS,Managed cloud,Amazon Web Services,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS managed Apache Cassandra-compatible database.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
35,A,Amazon MemoryDB,In-memory / Redis-compatible,,Database engine / DBMS,Managed cloud,Amazon Web Services,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS durable in-memory database service.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
36,A,Amazon Neptune,Graph / RDF,,Database engine / DBMS,Managed cloud,Amazon Web Services,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS managed graph database.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
37,A,Amazon Neptune RDF,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
38,A,Amazon OpenSearch Service,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
39,A,Amazon OpenSearch Vector Engine,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
40,A,Amazon RDS,Cloud managed database,,Managed cloud database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
41,A,Amazon RDS for Db2,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
42,A,Amazon RDS for MariaDB,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
43,A,Amazon RDS for MySQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
44,A,Amazon RDS for Oracle,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
45,A,Amazon RDS for PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
46,A,Amazon RDS for SQL Server,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
47,A,Amazon RDS PostgreSQL pgvector,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
48,A,Amazon Redshift,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
49,A,Amazon Timestream,Time series,,Managed cloud database service,Managed cloud,Amazon Web Services,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,AWS managed time-series database family.,https://docs.aws.amazon.com/decision-guides/latest/decision-guides/databases-on-aws-how-to-choose.html
50,A,Amazon Timestream for InfluxDB,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
51,A,Amazon Timestream for LiveAnalytics,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
52,A,Anzo,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
53,A,AnzoGraph DB,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
54,A,Apache AGE,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
55,A,Apache Calcite,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
56,A,Apache Cassandra,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,12,93.96,Wide-column / vector-capable,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
57,A,Apache Cassandra Vector Search,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
58,A,Apache CouchDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
59,A,Apache Derby,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
60,A,Apache Derby Java DB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
61,A,Apache Directory Server,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
62,A,Apache Doris,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
63,A,Apache Drill,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
64,A,Apache Druid,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
65,A,Apache Geode,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
66,A,Apache HBase,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
67,A,Apache Hive,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,16,70.11,Relational / analytical,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
68,A,Apache Hudi,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
69,A,Apache Iceberg,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
70,A,Apache Ignite,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
71,A,Apache Ignite Cache,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
72,A,Apache Impala,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
73,A,Apache IoTDB,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
74,A,Apache Jackrabbit,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
75,A,Apache Jena TDB,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
76,A,Apache Kafka,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
77,A,Apache Kudu,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
78,A,Apache Kylin,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
79,A,Apache Marmotta,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
80,A,Apache Phoenix,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
81,A,Apache Pinot,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
82,A,Apache Pulsar,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
83,A,Apache Solr,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
84,A,Apache Spark SQL,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
85,A,Apache Trafodion,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
86,A,Appwrite,Developer data platform,,Managed developer data platform,Managed cloud / self-host,Appwrite,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,"Backend platform offering TablesDB, DocumentsDB, VectorsDB plus managed PostgreSQL/MySQL.",https://appwrite.io/docs/products/databases
87,A,ArangoDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
88,A,ArangoGraph Insights Platform,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
89,A,ArcadeDB,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
90,A,ArcticDB,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
91,A,Aster Data,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
92,A,AWS Amplify Data,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
93,A,Azure AI Search,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
94,A,Azure AI Search Vector,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
95,A,Azure Cosmos DB,Multi-model NoSQL,,Database engine / DBMS,Managed cloud,Microsoft Azure,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed distributed NoSQL database service.,https://azure.microsoft.com/en-us/products
96,A,Azure Cosmos DB Cassandra API,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
97,A,Azure Cosmos DB Table API,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
98,A,Azure Cosmos DB Vector Search,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
99,A,Azure Data Explorer,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
100,A,Azure Database for MySQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
101,A,Azure Database for PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
102,A,Azure DocumentDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
103,A,Azure Managed Redis,Cloud managed database,,Managed cloud database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
