catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
17,A,Amazon Corretto HotSpot,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
18,A,Amber Smalltalk Runtime,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
19,A,AMD OpenMP Offload Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
20,A,Anaconda CPython Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
21,A,Android Runtime (ART),Android,Mobile managed runtime,DEX bytecode; Java/Kotlin and other Android languages,Interpreter + JIT + AOT,DEX / OAT / native code,Garbage collected,Android devices,Per-app process and Android sandbox,Google / Android Open Source Project,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Android app runtime executing DEX with AOT and JIT compilation.,https://developer.android.com/guide/platform
22,A,Aonix PERC,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
23,A,Apache Harmony DRLVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
24,A,Artichoke Ruby,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
25,A,AtomVM,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
26,A,AudioWorklet Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
27,A,Avian JVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
28,A,AWK Interpreter Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
29,A,AWS Lambda Custom Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
30,A,AWS Lambda Node.js Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,9,12,0.1,1,2532,26.4,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
31,A,aWsm,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
32,A,AxiomJS,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
33,A,Azul Platform Prime VM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
34,A,Azul Prime JVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
35,A,Azul Zing JVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
36,A,Azure Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,5,632,6.6,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
37,B,B3 JIT,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
38,B,Babashka Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
39,B,Batavia Python VM,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
40,B,BEAM,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Register-based VM underlying Erlang/OTP and languages such as Elixir and Gleam.,https://www.erlang.org/docs/27/system/system_principles.html
41,B,BEAM Emulator,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
42,B,BEAM JIT,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
43,B,Bee Smalltalk Runtime,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
44,B,BellSoft Liberica HotSpot,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
45,B,Bigloo Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
46,B,Bionic libc,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
47,B,Blackdown JVM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
48,B,Blazor WebAssembly .NET Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
49,B,Boa Engine,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
50,B,Boehm GC Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
51,B,Browser JavaScript Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,2,9682,86.9,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
52,B,Browser Main-Thread Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
53,B,Brython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
54,B,BSD libc,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
55,B,Bun,JavaScript / TypeScript,Application runtime + toolchain,"JavaScript, TypeScript, JSX, TSX, WebAssembly",JIT + interpreter,JavaScript / TypeScript -> JavaScriptCore,Garbage collected,"Server, CLI, tooling",Process/OS permissions,Bun / Oven,Built on JavaScriptCore,3,2321,20.8,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Runtime plus package manager, bundler and test runner.",https://bun.sh/docs/runtime
56,B,Bun JavaScriptCore Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
57,B,BusyBox awk Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
58,C,CACAO,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
59,C,CACAO VM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
60,C,Carakan,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
61,C,Cardinal Ruby,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
62,C,Chakra,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
63,C,ChakraCore,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,8,33,0.3,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
64,C,Chez Scheme Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
65,C,Chez Scheme VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
66,C,Chibi Scheme Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
67,C,Chicken Scheme Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
68,C,Chicory,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
69,C,Chromium Renderer JavaScript Environment,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
70,C,Ciao Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
