catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
11,A,AWX,Operations automation,Runbook/event automation,DevOps / SRE,Automate operational remediation/workflows,Server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
12,A,Azure DevOps Build,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
13,A,Azure Pipelines,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
14,A,Azure Pipelines Agent,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
15,A,Azure Release Pipelines,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
16,B,Bamboo,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
17,B,Bitbucket Pipelines,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
18,B,Bors,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
19,B,Buddy,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
20,B,Buildbot,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
21,B,Buildkite,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
22,B,Buildkite Agent,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
23,C,Changesets,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
24,C,Chef Automate,Operations automation,Runbook/event automation,DevOps / SRE,Automate operational remediation/workflows,Server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
25,C,CircleCI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
26,C,CircleCI runners,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
27,C,Cirrus CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
28,C,Cloudflare Pages CI,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
29,C,Codefresh,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
30,C,Codefresh GitOps,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
31,C,Codeship,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
32,C,Commitizen,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
33,C,Concourse CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
34,C,Conventional Commits,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
35,D,Dagger,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
36,D,dagger.io,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
37,D,Dependabot,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
38,D,Dependabot Security Updates,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
39,D,DigitalOcean App Platform builds,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
40,D,doit,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
41,D,Drone CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
42,E,Earthly CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
43,F,Flagger,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
44,F,Flux,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,CNCF 2025 graduated-project production use,23.0,CNCF annual survey,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
45,G,GitHub Actions,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,JetBrains CI/CD 2025 organization usage,41.0,CI/CD survey respondents; organization use,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
46,G,GitHub Actions Runner Controller,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
47,G,GitHub Deployments,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
48,G,GitHub Merge Queue,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
49,G,GitLab CD,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
50,G,GitLab CI/CD,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
51,G,GitLab Dependency Scanning,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
52,G,GitLab Runner,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
53,G,GitVersion,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
54,G,GoCD,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
55,G,Google Cloud Build,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
56,G,Google Cloud Deploy,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
57,G,GoReleaser,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
58,G,Greenkeeper,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
59,H,Harness CD,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
60,H,Harness CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
61,H,Heroku Pipelines,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
62,H,Homu,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
63,H,Hudson,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
64,H,Husky,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
65,I,Integrity CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
66,I,Invoke,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
67,J,Jenkins,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
68,J,Jenkins agents,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
69,J,Jenkins Job Builder,Operations automation,Runbook/event automation,DevOps / SRE,Automate operational remediation/workflows,Server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
70,J,Jenkins X,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
71,J,Jenkins X GitOps,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
72,J,JReleaser,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
73,J,Just,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
74,K,Kargo,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
75,K,Keptn,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
76,K,Kodiak,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
77,L,lint-staged,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
78,M,Mage,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
79,M,Magnum CI,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
80,M,Make,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
81,M,Mend Renovate,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
82,M,MergeQueue,Repository automation,Dependency/merge automation,Git hosting,Automate dependency updates and merge policy,Git forge / bot,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
